STATE_ID,BLOCK_ID,hab_num,hab_outside,osm_num,greater,osm_near,osm_far,hab_near,hab_far
12,1354,122,2,5,hab,4,1,4,118
12,7712,209,1,0,hab,0,0,0,209
12,7711,185,6,1,hab,1,0,2,183
12,7714,255,2,1,hab,1,0,1,254
12,7710,360,2,1,hab,1,0,4,356
12,3,173,9,205,osm,148,57,147,26
12,6393,741,5,0,hab,0,0,0,741
12,2991,70,0,0,hab,0,0,0,70
12,3525,196,5,1,hab,1,0,2,194
12,2568,136,16,50,hab,45,5,43,93
12,6384,89,1,24,hab,21,3,23,66
12,197,87,0,74,hab,61,13,73,14
12,199,132,4,16,hab,16,0,37,95
12,747,88,1,78,hab,48,30,47,41
12,6355,118,12,16,hab,16,0,17,101
12,889,189,1,298,osm,181,117,149,40
12,1041,274,4,16,hab,16,0,36,238
12,1834,13,0,12,hab,6,6,7,6
12,3348,110,0,112,osm,76,36,80,30
12,6257,102,3,0,hab,0,0,0,102
12,3657,99,1,121,osm,93,28,95,4
12,6222,60,1,7,hab,7,0,9,51
12,3545,106,8,1,hab,1,0,1,105
12,3991,65,0,74,osm,59,15,59,6
12,4331,207,0,13,hab,12,1,72,135
12,5930,64,0,0,hab,0,0,0,64
12,4100,140,2,144,osm,115,29,120,20
12,743,73,1,0,hab,0,0,0,73
12,6404,179,0,3,hab,2,1,3,176
12,1433,211,2,2,hab,1,1,2,209
12,3756,98,1,3,hab,3,0,7,91
12,6406,70,0,1,hab,1,0,1,69
12,5105,207,1,152,hab,122,30,116,91
12,1496,125,17,1,hab,1,0,2,123
12,3931,303,2,1,hab,1,0,4,299
12,2491,649,2,7,hab,7,0,16,633
12,4049,193,4,2,hab,1,1,1,192
12,1400,588,8,1,hab,1,0,5,583
12,6269,152,0,3,hab,2,1,2,150
12,2728,181,0,2,hab,2,0,6,175
12,4452,172,7,12,hab,11,1,14,158
12,200,58,2,3,hab,3,0,3,55
12,814,92,1,0,hab,0,0,0,92
12,4148,196,1,3,hab,3,0,3,193
12,679,68,3,36,hab,35,1,38,30
12,1835,139,1,11,hab,11,0,18,121
12,4908,91,1,15,hab,12,3,13,78
12,5325,138,10,25,hab,25,0,33,105
12,3672,122,0,7,hab,6,1,5,117
12,1383,153,0,6,hab,5,1,6,147
12,5441,88,1,1,hab,1,0,2,86
12,5380,104,2,3,hab,3,0,6,98
12,3822,194,0,119,hab,87,32,116,78
12,3410,38,2,15,hab,15,0,16,22
12,2999,113,2,5,hab,5,0,6,107
12,2486,208,1,5,hab,5,0,10,198
12,2936,60,0,1,hab,1,0,1,59
12,5732,230,1,1,hab,0,1,0,230
12,5999,236,1,1,hab,0,1,0,236
12,4593,194,1,72,hab,66,6,67,127
12,1867,262,0,1,hab,1,0,5,257
12,3656,338,3,6,hab,6,0,11,327
12,2687,120,0,6,hab,5,1,12,108
12,2742,897,3,2,hab,2,0,17,880
12,3548,212,2,1,hab,1,0,3,209
12,581,111,2,1,hab,1,0,1,110
12,6203,92,2,2,hab,2,0,4,88
12,1480,196,8,5,hab,5,0,6,190
12,1485,210,1,1,hab,1,0,1,209
12,6258,127,0,3,hab,2,1,2,125
12,5454,93,0,1,hab,0,1,0,93
12,156,56,0,1,hab,1,0,1,55
12,3705,106,12,8,hab,8,0,9,97
12,2938,133,1,1,hab,1,0,3,130
12,3387,53,0,8,hab,7,1,7,46
12,1438,89,1,4,hab,4,0,5,84
12,171,174,5,29,hab,28,1,44,130
12,1556,119,5,0,hab,0,0,0,119
12,2127,50,0,9,hab,9,0,9,41
12,5995,146,0,4,hab,4,0,4,142
12,5006,81,2,1,hab,1,0,1,80
12,1582,89,0,10,hab,10,0,10,79
12,6255,155,2,12,hab,12,0,20,135
12,1426,376,19,3,hab,3,0,6,370
12,6430,146,0,4,hab,4,0,6,140
12,2782,96,0,6,hab,6,0,6,90
12,5455,279,0,4,hab,4,0,8,271
12,6277,407,2,7,hab,7,0,29,378
12,372,31,0,18,hab,18,0,19,12
12,4420,107,1,0,hab,0,0,0,107
12,1141,74,1,14,hab,13,1,14,60
12,339,58,0,1,hab,1,0,1,57
12,161,76,1,22,hab,22,0,22,54
12,6283,570,0,1,hab,1,0,7,563
12,6204,620,18,5,hab,5,0,63,557
12,149,116,4,1,hab,1,0,1,115
12,1281,288,2,3,hab,3,0,6,282
12,4563,534,4,3,hab,2,1,24,510
12,4239,139,0,1,hab,0,1,0,139
12,1831,247,1,3,hab,3,0,26,221
12,2384,184,4,10,hab,9,1,22,162
12,1477,216,0,0,hab,0,0,0,216
12,1617,66,0,23,hab,23,0,22,44
12,1455,95,1,43,hab,42,1,44,51
12,1360,38,1,8,hab,8,0,7,31
12,4720,163,2,1,hab,1,0,1,162
12,2831,220,5,5,hab,5,0,14,206
12,5508,343,3,1,hab,1,0,1,342
12,1353,75,0,4,hab,4,0,8,67
12,5246,110,0,1,hab,1,0,1,109
12,4384,152,0,7,hab,7,0,9,143
12,2652,181,1,0,hab,0,0,0,181
12,7713,258,1,0,hab,0,0,0,258
12,7709,271,3,1,hab,1,0,1,270
12,7686,78,1,8,hab,8,0,6,72
12,7687,35,0,2,hab,2,0,3,32
12,7684,57,0,6,hab,6,0,5,52
12,3412,336,3,2,hab,2,0,7,329
12,7683,275,2,2,hab,2,0,2,273
12,5608,77,0,3,hab,3,0,3,74
12,2117,238,0,2,hab,0,2,0,238
12,7685,30,0,7,hab,7,0,7,23
12,7698,167,0,0,hab,0,0,0,167
12,7703,155,6,0,hab,0,0,0,155
12,7702,311,3,1,hab,0,1,0,311
12,7701,461,3,3,hab,3,0,9,452
12,7700,172,1,1,hab,1,0,2,170
12,7699,306,4,1,hab,1,0,2,304
12,6163,183,5,3,hab,3,0,16,167
12,2416,110,0,3,hab,3,0,3,107
12,4481,57,1,1,hab,0,1,0,57
12,6083,121,2,2,hab,2,0,7,114
12,2651,98,0,8,hab,7,1,7,91
12,6276,295,3,2,hab,2,0,27,268
12,1778,363,5,1,hab,1,0,6,357
12,5714,70,2,0,hab,0,0,0,70
